chi,method,convergence_step,diff,marginal,marginal_error
4,bp,4,,,
4,tnmp_rank1,,,,
4,tnmp_rank2,,,,
4,gbp,58,,0.47353427468187564;0.5264657253181243,
8,bp,3,,0.5042003058688017;0.49579969413119823,
8,tnmp_rank1,5,,0.5041999685888162;0.4958000314111837,
8,tnmp_rank2,4,,0.5041999687659781;0.49580003123402194,
8,bmps_chi=1,,,0.5042;0.4958,
8,bmps_chi=2,2,,0.5042;0.4958,
8,bmps_chi=4,,,NaN;NaN,
8,bmps_chi=8,,,NaN;NaN,
8,bmps_chi=16,,,NaN;NaN,
8,bmps_chi=32,,,NaN;NaN,
16,bp,3,,,
16,tnmp_rank1,,,,
16,tnmp_rank2,,,,
